Cohort,Geography,Gender,Percentage,,
100 years and over,Central Kootenay J,Women+,0.0%,,
0 to 4 years,Central Kootenay K,Women+,1.1%,,
5 to 9 years,Central Kootenay K,Women+,1.4%,,
10 to 14 years,Central Kootenay K,Women+,1.7%,,
15 to 19 years,Central Kootenay K,Women+,2.0%,,
20 to 24 years,Central Kootenay K,Women+,0.8%,,
25 to 29 years,Central Kootenay K,Women+,1.1%,,
30 to 34 years,Central Kootenay K,Women+,2.0%,,
35 to 39 years,Central Kootenay K,Women+,2.5%,,
40 to 44 years,Central Kootenay K,Women+,3.1%,,
45 to 49 years,Central Kootenay K,Women+,2.2%,,
50 to 54 years,Central Kootenay K,Women+,3.1%,,
55 to 59 years,Central Kootenay K,Women+,5.3%,,
60 to 64 years,Central Kootenay K,Women+,6.7%,,
65 to 69 years,Central Kootenay K,Women+,6.7%,,
70 to 74 years,Central Kootenay K,Women+,4.5%,,
75 to 79 years,Central Kootenay K,Women+,2.8%,,
80 to 84 years,Central Kootenay K,Women+,1.1%,,
85 to 89 years,Central Kootenay K,Women+,0.6%,,
90 to 94 years,Central Kootenay K,Women+,0.3%,,
95 to 99 years,Central Kootenay K,Women+,0.0%,,
100 years and over,Central Kootenay K,Women+,0.0%,,
0 to 4 years,Columbia-Shuswap,Women+,2.0%,,
5 to 9 years,Columbia-Shuswap,Women+,2.3%,,
10 to 14 years,Columbia-Shuswap,Women+,2.4%,,
15 to 19 years,Columbia-Shuswap,Women+,2.1%,,
20 to 24 years,Columbia-Shuswap,Women+,1.7%,,
25 to 29 years,Columbia-Shuswap,Women+,2.3%,,
30 to 34 years,Columbia-Shuswap,Women+,3.1%,,
35 to 39 years,Columbia-Shuswap,Women+,3.1%,,
40 to 44 years,Columbia-Shuswap,Women+,3.0%,,
45 to 49 years,Columbia-Shuswap,Women+,2.4%,,
50 to 54 years,Columbia-Shuswap,Women+,3.0%,,
55 to 59 years,Columbia-Shuswap,Women+,4.0%,,
60 to 64 years,Columbia-Shuswap,Women+,5.0%,,
65 to 69 years,Columbia-Shuswap,Women+,4.5%,,
70 to 74 years,Columbia-Shuswap,Women+,3.5%,,
75 to 79 years,Columbia-Shuswap,Women+,2.4%,,
80 to 84 years,Columbia-Shuswap,Women+,1.4%,,
85 to 89 years,Columbia-Shuswap,Women+,1.0%,,
90 to 94 years,Columbia-Shuswap,Women+,0.5%,,
95 to 99 years,Columbia-Shuswap,Women+,0.1%,,
100 years and over,Columbia-Shuswap,Women+,0.0%,,
0 to 4 years,Columbia-Shuswap A,Women+,2.0%,,
5 to 9 years,Columbia-Shuswap A,Women+,2.6%,,
10 to 14 years,Columbia-Shuswap A,Women+,2.4%,,
15 to 19 years,Columbia-Shuswap A,Women+,1.7%,,
20 to 24 years,Columbia-Shuswap A,Women+,1.5%,,
25 to 29 years,Columbia-Shuswap A,Women+,2.4%,,
30 to 34 years,Columbia-Shuswap A,Women+,3.9%,,
35 to 39 years,Columbia-Shuswap A,Women+,4.4%,,
40 to 44 years,Columbia-Shuswap A,Women+,3.9%,,
45 to 49 years,Columbia-Shuswap A,Women+,3.0%,,
50 to 54 years,Columbia-Shuswap A,Women+,2.6%,,
55 to 59 years,Columbia-Shuswap A,Women+,3.8%,,
60 to 64 years,Columbia-Shuswap A,Women+,5.0%,,
65 to 69 years,Columbia-Shuswap A,Women+,3.5%,,
70 to 74 years,Columbia-Shuswap A,Women+,2.6%,,
75 to 79 years,Columbia-Shuswap A,Women+,1.4%,,
80 to 84 years,Columbia-Shuswap A,Women+,0.6%,,
85 to 89 years,Columbia-Shuswap A,Women+,0.3%,,
90 to 94 years,Columbia-Shuswap A,Women+,0.0%,,
95 to 99 years,Columbia-Shuswap A,Women+,0.0%,,
100 years and over,Columbia-Shuswap A,Women+,0.0%,,
0 to 4 years,Columbia-Shuswap B,Women+,1.5%,,
5 to 9 years,Columbia-Shuswap B,Women+,3.8%,,
10 to 14 years,Columbia-Shuswap B,Women+,3.0%,,
15 to 19 years,Columbia-Shuswap B,Women+,1.5%,,
20 to 24 years,Columbia-Shuswap B,Women+,2.3%,,
25 to 29 years,Columbia-Shuswap B,Women+,2.3%,,
30 to 34 years,Columbia-Shuswap B,Women+,4.5%,,
35 to 39 years,Columbia-Shuswap B,Women+,3.0%,,
40 to 44 years,Columbia-Shuswap B,Women+,3.0%,,
45 to 49 years,Columbia-Shuswap B,Women+,1.5%,,
50 to 54 years,Columbia-Shuswap B,Women+,3.8%,,
55 to 59 years,Columbia-Shuswap B,Women+,5.3%,,
60 to 64 years,Columbia-Shuswap B,Women+,4.5%,,
65 to 69 years,Columbia-Shuswap B,Women+,3.8%,,
70 to 74 years,Columbia-Shuswap B,Women+,1.5%,,
75 to 79 years,Columbia-Shuswap B,Women+,1.5%,,
80 to 84 years,Columbia-Shuswap B,Women+,0.8%,,
85 to 89 years,Columbia-Shuswap B,Women+,0.8%,,
90 to 94 years,Columbia-Shuswap B,Women+,0.0%,,
95 to 99 years,Columbia-Shuswap B,Women+,0.0%,,
100 years and over,Columbia-Shuswap B,Women+,0.0%,,
0 to 4 years,Cranbrook,Women+,2.0%,,
5 to 9 years,Cranbrook,Women+,2.4%,,
10 to 14 years,Cranbrook,Women+,2.8%,,
15 to 19 years,Cranbrook,Women+,2.6%,,
20 to 24 years,Cranbrook,Women+,2.8%,,
25 to 29 years,Cranbrook,Women+,2.9%,,
30 to 34 years,Cranbrook,Women+,3.0%,,
35 to 39 years,Cranbrook,Women+,3.0%,,
40 to 44 years,Cranbrook,Women+,3.0%,,
45 to 49 years,Cranbrook,Women+,3.0%,,
50 to 54 years,Cranbrook,Women+,3.2%,,
55 to 59 years,Cranbrook,Women+,3.6%,,
60 to 64 years,Cranbrook,Women+,3.9%,,
65 to 69 years,Cranbrook,Women+,3.8%,,
70 to 74 years,Cranbrook,Women+,3.2%,,
75 to 79 years,Cranbrook,Women+,2.5%,,
80 to 84 years,Cranbrook,Women+,1.7%,,
85 to 89 years,Cranbrook,Women+,1.2%,,
90 to 94 years,Cranbrook,Women+,0.6%,,
95 to 99 years,Cranbrook,Women+,0.1%,,
100 years and over,Cranbrook,Women+,0.0%,,
0 to 4 years,Creston,Women+,1.8%,,
5 to 9 years,Creston,Women+,2.2%,,
10 to 14 years,Creston,Women+,2.2%,,
15 to 19 years,Creston,Women+,2.1%,,
20 to 24 years,Creston,Women+,1.8%,,
25 to 29 years,Creston,Women+,2.0%,,
30 to 34 years,Creston,Women+,2.1%,,
35 to 39 years,Creston,Women+,2.5%,,
40 to 44 years,Creston,Women+,2.3%,,
45 to 49 years,Creston,Women+,2.4%,,
50 to 54 years,Creston,Women+,2.7%,,
55 to 59 years,Creston,Women+,3.9%,,
60 to 64 years,Creston,Women+,4.1%,,
65 to 69 years,Creston,Women+,5.6%,,
70 to 74 years,Creston,Women+,4.8%,,
75 to 79 years,Creston,Women+,3.8%,,
80 to 84 years,Creston,Women+,3.1%,,
85 to 89 years,Creston,Women+,1.9%,,
90 to 94 years,Creston,Women+,1.3%,,
95 to 99 years,Creston,Women+,0.3%,,
100 years and over,Creston,Women+,0.0%,,
0 to 4 years,East Kootenay,Women+,2.3%,,
5 to 9 years,East Kootenay,Women+,2.6%,,
10 to 14 years,East Kootenay,Women+,2.7%,,
15 to 19 years,East Kootenay,Women+,2.4%,,
20 to 24 years,East Kootenay,Women+,2.1%,,
25 to 29 years,East Kootenay,Women+,2.7%,,
30 to 34 years,East Kootenay,Women+,3.3%,,
35 to 39 years,East Kootenay,Women+,3.5%,,
40 to 44 years,East Kootenay,Women+,3.2%,,
45 to 49 years,East Kootenay,Women+,3.0%,,
50 to 54 years,East Kootenay,Women+,3.1%,,
55 to 59 years,East Kootenay,Women+,3.6%,,
60 to 64 years,East Kootenay,Women+,4.2%,,
65 to 69 years,East Kootenay,Women+,3.7%,,
70 to 74 years,East Kootenay,Women+,3.0%,,
75 to 79 years,East Kootenay,Women+,2.0%,,
80 to 84 years,East Kootenay,Women+,1.3%,,
85 to 89 years,East Kootenay,Women+,0.8%,,
90 to 94 years,East Kootenay,Women+,0.4%,,
95 to 99 years,East Kootenay,Women+,0.1%,,
100 years and over,East Kootenay,Women+,0.0%,,
0 to 4 years,East Kootenay A,Women+,2.7%,,
5 to 9 years,East Kootenay A,Women+,2.9%,,
10 to 14 years,East Kootenay A,Women+,2.7%,,
15 to 19 years,East Kootenay A,Women+,2.1%,,
20 to 24 years,East Kootenay A,Women+,2.1%,,
25 to 29 years,East Kootenay A,Women+,2.4%,,
30 to 34 years,East Kootenay A,Women+,2.7%,,
35 to 39 years,East Kootenay A,Women+,3.7%,,
40 to 44 years,East Kootenay A,Women+,3.5%,,
45 to 49 years,East Kootenay A,Women+,3.2%,,
50 to 54 years,East Kootenay A,Women+,3.7%,,
55 to 59 years,East Kootenay A,Women+,2.9%,,
60 to 64 years,East Kootenay A,Women+,4.3%,,
65 to 69 years,East Kootenay A,Women+,2.7%,,
70 to 74 years,East Kootenay A,Women+,2.7%,,
75 to 79 years,East Kootenay A,Women+,1.6%,,
80 to 84 years,East Kootenay A,Women+,0.8%,,
85 to 89 years,East Kootenay A,Women+,0.0%,,
90 to 94 years,East Kootenay A,Women+,0.0%,,
95 to 99 years,East Kootenay A,Women+,0.0%,,
100 years and over,East Kootenay A,Women+,0.0%,,
0 to 4 years,East Kootenay B,Women+,1.5%,,
5 to 9 years,East Kootenay B,Women+,3.0%,,
10 to 14 years,East Kootenay B,Women+,2.8%,,
15 to 19 years,East Kootenay B,Women+,1.5%,,
20 to 24 years,East Kootenay B,Women+,1.5%,,
25 to 29 years,East Kootenay B,Women+,2.5%,,
30 to 34 years,East Kootenay B,Women+,2.8%,,
35 to 39 years,East Kootenay B,Women+,2.8%,,
40 to 44 years,East Kootenay B,Women+,2.3%,,
45 to 49 years,East Kootenay B,Women+,2.3%,,
50 to 54 years,East Kootenay B,Women+,3.3%,,
55 to 59 years,East Kootenay B,Women+,3.8%,,
60 to 64 years,East Kootenay B,Women+,5.8%,,
65 to 69 years,East Kootenay B,Women+,4.5%,,
70 to 74 years,East Kootenay B,Women+,3.5%,,
75 to 79 years,East Kootenay B,Women+,1.8%,,
80 to 84 years,East Kootenay B,Women+,1.3%,,
85 to 89 years,East Kootenay B,Women+,0.5%,,
90 to 94 years,East Kootenay B,Women+,0.3%,,
95 to 99 years,East Kootenay B,Women+,0.0%,,
100 years and over,East Kootenay B,Women+,0.0%,,
0 to 4 years,East Kootenay C,Women+,2.0%,,
5 to 9 years,East Kootenay C,Women+,2.5%,,
10 to 14 years,East Kootenay C,Women+,3.1%,,
15 to 19 years,East Kootenay C,Women+,2.7%,,
20 to 24 years,East Kootenay C,Women+,1.6%,,
25 to 29 years,East Kootenay C,Women+,1.8%,,
30 to 34 years,East Kootenay C,Women+,2.4%,,
35 to 39 years,East Kootenay C,Women+,2.8%,,
40 to 44 years,East Kootenay C,Women+,2.7%,,
45 to 49 years,East Kootenay C,Women+,2.8%,,
50 to 54 years,East Kootenay C,Women+,3.7%,,
55 to 59 years,East Kootenay C,Women+,4.7%,,
60 to 64 years,East Kootenay C,Women+,4.8%,,
65 to 69 years,East Kootenay C,Women+,4.4%,,
70 to 74 years,East Kootenay C,Women+,3.1%,,
75 to 79 years,East Kootenay C,Women+,1.8%,,
80 to 84 years,East Kootenay C,Women+,1.0%,,
85 to 89 years,East Kootenay C,Women+,0.5%,,
90 to 94 years,East Kootenay C,Women+,0.2%,,
95 to 99 years,East Kootenay C,Women+,0.0%,,
100 years and over,East Kootenay C,Women+,0.0%,,
0 to 4 years,East Kootenay E,Women+,1.8%,,
5 to 9 years,East Kootenay E,Women+,2.4%,,
10 to 14 years,East Kootenay E,Women+,1.8%,,
15 to 19 years,East Kootenay E,Women+,2.1%,,
20 to 24 years,East Kootenay E,Women+,1.5%,,
25 to 29 years,East Kootenay E,Women+,0.9%,,
30 to 34 years,East Kootenay E,Women+,3.6%,,
35 to 39 years,East Kootenay E,Women+,3.0%,,
40 to 44 years,East Kootenay E,Women+,2.1%,,
45 to 49 years,East Kootenay E,Women+,2.7%,,
50 to 54 years,East Kootenay E,Women+,3.0%,,
55 to 59 years,East Kootenay E,Women+,4.2%,,
60 to 64 years,East Kootenay E,Women+,5.4%,,
65 to 69 years,East Kootenay E,Women+,5.1%,,
70 to 74 years,East Kootenay E,Women+,3.9%,,
75 to 79 years,East Kootenay E,Women+,2.7%,,
80 to 84 years,East Kootenay E,Women+,1.2%,,
85 to 89 years,East Kootenay E,Women+,0.3%,,
90 to 94 years,East Kootenay E,Women+,0.0%,,
95 to 99 years,East Kootenay E,Women+,0.0%,,
100 years and over,East Kootenay E,Women+,0.0%,,
0 to 4 years,East Kootenay F,Women+,1.6%,,
5 to 9 years,East Kootenay F,Women+,1.8%,,
10 to 14 years,East Kootenay F,Women+,2.1%,,
15 to 19 years,East Kootenay F,Women+,1.4%,,
20 to 24 years,East Kootenay F,Women+,2.0%,,
25 to 29 years,East Kootenay F,Women+,1.7%,,
30 to 34 years,East Kootenay F,Women+,1.8%,,
35 to 39 years,East Kootenay F,Women+,2.6%,,
40 to 44 years,East Kootenay F,Women+,2.1%,,
45 to 49 years,East Kootenay F,Women+,2.4%,,
50 to 54 years,East Kootenay F,Women+,3.6%,,
55 to 59 years,East Kootenay F,Women+,4.8%,,
60 to 64 years,East Kootenay F,Women+,6.4%,,
65 to 69 years,East Kootenay F,Women+,5.0%,,
70 to 74 years,East Kootenay F,Women+,4.5%,,
75 to 79 years,East Kootenay F,Women+,2.6%,,
80 to 84 years,East Kootenay F,Women+,1.7%,,
85 to 89 years,East Kootenay F,Women+,0.7%,,
90 to 94 years,East Kootenay F,Women+,0.3%,,
95 to 99 years,East Kootenay F,Women+,0.0%,,
100 years and over,East Kootenay F,Women+,0.0%,,
0 to 4 years,East Kootenay G,Women+,2.1%,,
5 to 9 years,East Kootenay G,Women+,1.8%,,
10 to 14 years,East Kootenay G,Women+,2.4%,,
15 to 19 years,East Kootenay G,Women+,2.1%,,
20 to 24 years,East Kootenay G,Women+,1.5%,,
25 to 29 years,East Kootenay G,Women+,1.8%,,
30 to 34 years,East Kootenay G,Women+,3.0%,,
35 to 39 years,East Kootenay G,Women+,3.3%,,
40 to 44 years,East Kootenay G,Women+,2.1%,,
45 to 49 years,East Kootenay G,Women+,2.7%,,
50 to 54 years,East Kootenay G,Women+,3.3%,,
55 to 59 years,East Kootenay G,Women+,5.4%,,
60 to 64 years,East Kootenay G,Women+,5.1%,,
65 to 69 years,East Kootenay G,Women+,4.2%,,
70 to 74 years,East Kootenay G,Women+,3.6%,,
75 to 79 years,East Kootenay G,Women+,1.8%,,
80 to 84 years,East Kootenay G,Women+,1.5%,,
85 to 89 years,East Kootenay G,Women+,0.6%,,
90 to 94 years,East Kootenay G,Women+,0.3%,,
95 to 99 years,East Kootenay G,Women+,0.0%,,
100 years and over,East Kootenay G,Women+,0.0%,,
0 to 4 years,Elkford,Women+,2.7%,,
5 to 9 years,Elkford,Women+,3.3%,,
10 to 14 years,Elkford,Women+,3.1%,,
15 to 19 years,Elkford,Women+,2.9%,,
20 to 24 years,Elkford,Women+,2.2%,,
25 to 29 years,Elkford,Women+,2.7%,,
30 to 34 years,Elkford,Women+,4.0%,,
35 to 39 years,Elkford,Women+,4.5%,,
40 to 44 years,Elkford,Women+,3.5%,,
45 to 49 years,Elkford,Women+,2.9%,,
50 to 54 years,Elkford,Women+,2.7%,,
55 to 59 years,Elkford,Women+,3.5%,,
60 to 64 years,Elkford,Women+,3.3%,,
65 to 69 years,Elkford,Women+,2.4%,,
70 to 74 years,Elkford,Women+,1.5%,,
75 to 79 years,Elkford,Women+,0.7%,,
80 to 84 years,Elkford,Women+,0.5%,,
85 to 89 years,Elkford,Women+,0.2%,,
90 to 94 years,Elkford,Women+,0.0%,,
95 to 99 years,Elkford,Women+,0.0%,,
100 years and over,Elkford,Women+,0.0%,,
0 to 4 years,Fernie,Women+,2.9%,,
5 to 9 years,Fernie,Women+,3.2%,,
10 to 14 years,Fernie,Women+,2.9%,,
15 to 19 years,Fernie,Women+,2.4%,,
20 to 24 years,Fernie,Women+,1.9%,,
25 to 29 years,Fernie,Women+,4.3%,,
30 to 34 years,Fernie,Women+,5.1%,,
35 to 39 years,Fernie,Women+,4.5%,,
40 to 44 years,Fernie,Women+,4.4%,,
45 to 49 years,Fernie,Women+,3.2%,,
50 to 54 years,Fernie,Women+,2.5%,,
55 to 59 years,Fernie,Women+,2.5%,,
60 to 64 years,Fernie,Women+,3.2%,,
65 to 69 years,Fernie,Women+,2.4%,,
70 to 74 years,Fernie,Women+,2.1%,,
75 to 79 years,Fernie,Women+,1.3%,,
80 to 84 years,Fernie,Women+,0.9%,,
85 to 89 years,Fernie,Women+,0.6%,,
90 to 94 years,Fernie,Women+,0.2%,,
95 to 99 years,Fernie,Women+,0.2%,,
100 years and over,Fernie,Women+,0.0%,,
0 to 4 years,Fraser-Fort George,Women+,2.4%,,
5 to 9 years,Fraser-Fort George,Women+,2.8%,,
10 to 14 years,Fraser-Fort George,Women+,2.9%,,
15 to 19 years,Fraser-Fort George,Women+,2.7%,,
20 to 24 years,Fraser-Fort George,Women+,3.1%,,
25 to 29 years,Fraser-Fort George,Women+,3.5%,,
30 to 34 years,Fraser-Fort George,Women+,3.5%,,
35 to 39 years,Fraser-Fort George,Women+,3.5%,,
40 to 44 years,Fraser-Fort George,Women+,3.1%,,
45 to 49 years,Fraser-Fort George,Women+,3.1%,,
50 to 54 years,Fraser-Fort George,Women+,3.3%,,
55 to 59 years,Fraser-Fort George,Women+,3.6%,,
60 to 64 years,Fraser-Fort George,Women+,3.5%,,
65 to 69 years,Fraser-Fort George,Women+,3.0%,,
70 to 74 years,Fraser-Fort George,Women+,2.3%,,
75 to 79 years,Fraser-Fort George,Women+,1.6%,,
80 to 84 years,Fraser-Fort George,Women+,0.9%,,
85 to 89 years,Fraser-Fort George,Women+,0.5%,,
90 to 94 years,Fraser-Fort George,Women+,0.2%,,
95 to 99 years,Fraser-Fort George,Women+,0.1%,,
100 years and over,Fraser-Fort George,Women+,0.0%,,
0 to 4 years,Fraser-Fort George H,Women+,2.5%,,
5 to 9 years,Fraser-Fort George H,Women+,2.5%,,
10 to 14 years,Fraser-Fort George H,Women+,2.2%,,
15 to 19 years,Fraser-Fort George H,Women+,1.9%,,
20 to 24 years,Fraser-Fort George H,Women+,1.9%,,
25 to 29 years,Fraser-Fort George H,Women+,1.9%,,
30 to 34 years,Fraser-Fort George H,Women+,2.5%,,
35 to 39 years,Fraser-Fort George H,Women+,2.8%,,
40 to 44 years,Fraser-Fort George H,Women+,2.8%,,
45 to 49 years,Fraser-Fort George H,Women+,2.2%,,
50 to 54 years,Fraser-Fort George H,Women+,3.8%,,
55 to 59 years,Fraser-Fort George H,Women+,4.4%,,
60 to 64 years,Fraser-Fort George H,Women+,5.3%,,
65 to 69 years,Fraser-Fort George H,Women+,4.4%,,
70 to 74 years,Fraser-Fort George H,Women+,2.8%,,
75 to 79 years,Fraser-Fort George H,Women+,2.2%,,
80 to 84 years,Fraser-Fort George H,Women+,0.9%,,
85 to 89 years,Fraser-Fort George H,Women+,0.9%,,
90 to 94 years,Fraser-Fort George H,Women+,0.3%,,
95 to 99 years,Fraser-Fort George H,Women+,0.0%,,
100 years and over,Fraser-Fort George H,Women+,0.0%,,
0 to 4 years,Fruitvale,Women+,2.0%,,
5 to 9 years,Fruitvale,Women+,2.0%,,
10 to 14 years,Fruitvale,Women+,2.3%,,
15 to 19 years,Fruitvale,Women+,2.5%,,
20 to 24 years,Fruitvale,Women+,2.3%,,
25 to 29 years,Fruitvale,Women+,2.8%,,
30 to 34 years,Fruitvale,Women+,2.5%,,
35 to 39 years,Fruitvale,Women+,2.8%,,
40 to 44 years,Fruitvale,Women+,2.8%,,
45 to 49 years,Fruitvale,Women+,2.3%,,
50 to 54 years,Fruitvale,Women+,2.8%,,
55 to 59 years,Fruitvale,Women+,3.5%,,
60 to 64 years,Fruitvale,Women+,5.3%,,
65 to 69 years,Fruitvale,Women+,4.6%,,
70 to 74 years,Fruitvale,Women+,3.3%,,
75 to 79 years,Fruitvale,Women+,2.3%,,
80 to 84 years,Fruitvale,Women+,1.5%,,
85 to 89 years,Fruitvale,Women+,2.3%,,
90 to 94 years,Fruitvale,Women+,0.5%,,
95 to 99 years,Fruitvale,Women+,0.3%,,
100 years and over,Fruitvale,Women+,0.0%,,
0 to 4 years,Golden,Women+,2.5%,,
5 to 9 years,Golden,Women+,2.8%,,
10 to 14 years,Golden,Women+,2.6%,,
15 to 19 years,Golden,Women+,2.0%,,
20 to 24 years,Golden,Women+,2.8%,,
25 to 29 years,Golden,Women+,3.3%,,
30 to 34 years,Golden,Women+,4.9%,,
35 to 39 years,Golden,Women+,4.1%,,
40 to 44 years,Golden,Women+,4.5%,,
45 to 49 years,Golden,Women+,2.8%,,
50 to 54 years,Golden,Women+,2.4%,,
55 to 59 years,Golden,Women+,2.9%,,
60 to 64 years,Golden,Women+,3.5%,,
65 to 69 years,Golden,Women+,2.8%,,
70 to 74 years,Golden,Women+,2.3%,,
75 to 79 years,Golden,Women+,1.5%,,
80 to 84 years,Golden,Women+,1.0%,,
85 to 89 years,Golden,Women+,0.5%,,
90 to 94 years,Golden,Women+,0.3%,,
95 to 99 years,Golden,Women+,0.3%,,
100 years and over,Golden,Women+,0.0%,,
0 to 4 years,Grand Forks,Women+,1.3%,,
5 to 9 years,Grand Forks,Women+,1.9%,,
10 to 14 years,Grand Forks,Women+,1.9%,,
15 to 19 years,Grand Forks,Women+,2.3%,,
20 to 24 years,Grand Forks,Women+,1.8%,,
25 to 29 years,Grand Forks,Women+,2.1%,,
30 to 34 years,Grand Forks,Women+,2.1%,,
35 to 39 years,Grand Forks,Women+,2.1%,,
40 to 44 years,Grand Forks,Women+,2.4%,,
45 to 49 years,Grand Forks,Women+,2.4%,,
50 to 54 years,Grand Forks,Women+,3.3%,,
55 to 59 years,Grand Forks,Women+,4.5%,,
60 to 64 years,Grand Forks,Women+,4.5%,,
65 to 69 years,Grand Forks,Women+,4.8%,,
70 to 74 years,Grand Forks,Women+,4.2%,,
75 to 79 years,Grand Forks,Women+,4.1%,,
80 to 84 years,Grand Forks,Women+,2.4%,,
85 to 89 years,Grand Forks,Women+,2.2%,,
90 to 94 years,Grand Forks,Women+,0.7%,,
95 to 99 years,Grand Forks,Women+,0.4%,,
100 years and over,Grand Forks,Women+,0.0%,,
0 to 4 years,Greenwood,Women+,0.7%,,
5 to 9 years,Greenwood,Women+,1.4%,,
10 to 14 years,Greenwood,Women+,1.4%,,
15 to 19 years,Greenwood,Women+,1.4%,,
20 to 24 years,Greenwood,Women+,1.4%,,
25 to 29 years,Greenwood,Women+,1.4%,,
30 to 34 years,Greenwood,Women+,1.4%,,
35 to 39 years,Greenwood,Women+,2.1%,,
40 to 44 years,Greenwood,Women+,2.1%,,
45 to 49 years,Greenwood,Women+,2.1%,,
50 to 54 years,Greenwood,Women+,2.1%,,
55 to 59 years,Greenwood,Women+,5.6%,,
60 to 64 years,Greenwood,Women+,5.6%,,
65 to 69 years,Greenwood,Women+,6.3%,,
70 to 74 years,Greenwood,Women+,5.6%,,
75 to 79 years,Greenwood,Women+,3.5%,,
80 to 84 years,Greenwood,Women+,1.4%,,
85 to 89 years,Greenwood,Women+,0.7%,,
90 to 94 years,Greenwood,Women+,0.0%,,
95 to 99 years,Greenwood,Women+,0.0%,,
100 years and over,Greenwood,Women+,0.0%,,
0 to 4 years,Invermere,Women+,2.8%,,
5 to 9 years,Invermere,Women+,2.7%,,
10 to 14 years,Invermere,Women+,2.2%,,
15 to 19 years,Invermere,Women+,2.8%,,
20 to 24 years,Invermere,Women+,2.2%,,
25 to 29 years,Invermere,Women+,2.7%,,
30 to 34 years,Invermere,Women+,3.1%,,
35 to 39 years,Invermere,Women+,3.8%,,
40 to 44 years,Invermere,Women+,3.8%,,
45 to 49 years,Invermere,Women+,3.2%,,
50 to 54 years,Invermere,Women+,2.4%,,
55 to 59 years,Invermere,Women+,3.1%,,
60 to 64 years,Invermere,Women+,3.7%,,
65 to 69 years,Invermere,Women+,3.8%,,
70 to 74 years,Invermere,Women+,3.2%,,
75 to 79 years,Invermere,Women+,2.0%,,
80 to 84 years,Invermere,Women+,1.7%,,
85 to 89 years,Invermere,Women+,1.7%,,
90 to 94 years,Invermere,Women+,1.0%,,
95 to 99 years,Invermere,Women+,0.3%,,
100 years and over,Invermere,Women+,0.0%,,
0 to 4 years,Kaslo,Women+,1.0%,,
5 to 9 years,Kaslo,Women+,1.4%,,
10 to 14 years,Kaslo,Women+,1.4%,,
15 to 19 years,Kaslo,Women+,1.4%,,
20 to 24 years,Kaslo,Women+,1.4%,,
25 to 29 years,Kaslo,Women+,1.4%,,
30 to 34 years,Kaslo,Women+,2.9%,,
35 to 39 years,Kaslo,Women+,1.9%,,
40 to 44 years,Kaslo,Women+,2.9%,,
45 to 49 years,Kaslo,Women+,2.4%,,
50 to 54 years,Kaslo,Women+,2.9%,,
55 to 59 years,Kaslo,Women+,4.8%,,
60 to 64 years,Kaslo,Women+,5.7%,,
65 to 69 years,Kaslo,Women+,4.8%,,
70 to 74 years,Kaslo,Women+,6.7%,,
75 to 79 years,Kaslo,Women+,2.9%,,
80 to 84 years,Kaslo,Women+,1.4%,,
85 to 89 years,Kaslo,Women+,1.4%,,
90 to 94 years,Kaslo,Women+,0.5%,,
95 to 99 years,Kaslo,Women+,0.5%,,
100 years and over,Kaslo,Women+,0.0%,,
0 to 4 years,Kimberley,Women+,2.4%,,
5 to 9 years,Kimberley,Women+,2.8%,,
10 to 14 years,Kimberley,Women+,2.9%,,
15 to 19 years,Kimberley,Women+,2.0%,,
20 to 24 years,Kimberley,Women+,1.5%,,
25 to 29 years,Kimberley,Women+,2.2%,,
30 to 34 years,Kimberley,Women+,3.6%,,
35 to 39 years,Kimberley,Women+,3.9%,,
40 to 44 years,Kimberley,Women+,3.5%,,
45 to 49 years,Kimberley,Women+,3.3%,,
50 to 54 years,Kimberley,Women+,2.8%,,
55 to 59 years,Kimberley,Women+,3.3%,,
60 to 64 years,Kimberley,Women+,4.0%,,
65 to 69 years,Kimberley,Women+,3.7%,,
70 to 74 years,Kimberley,Women+,3.4%,,
75 to 79 years,Kimberley,Women+,2.3%,,
80 to 84 years,Kimberley,Women+,1.5%,,
85 to 89 years,Kimberley,Women+,0.9%,,
90 to 94 years,Kimberley,Women+,0.5%,,
95 to 99 years,Kimberley,Women+,0.1%,,
100 years and over,Kimberley,Women+,0.0%,,
0 to 4 years,Kootenay Boundary,Women+,1.7%,,
5 to 9 years,Kootenay Boundary,Women+,2.2%,,
10 to 14 years,Kootenay Boundary,Women+,2.4%,,
15 to 19 years,Kootenay Boundary,Women+,2.2%,,
20 to 24 years,Kootenay Boundary,Women+,1.7%,,
25 to 29 years,Kootenay Boundary,Women+,2.2%,,
30 to 34 years,Kootenay Boundary,Women+,2.6%,,
35 to 39 years,Kootenay Boundary,Women+,3.1%,,
40 to 44 years,Kootenay Boundary,Women+,2.7%,,
45 to 49 years,Kootenay Boundary,Women+,2.8%,,
50 to 54 years,Kootenay Boundary,Women+,3.0%,,
55 to 59 years,Kootenay Boundary,Women+,4.2%,,
60 to 64 years,Kootenay Boundary,Women+,5.0%,,
65 to 69 years,Kootenay Boundary,Women+,4.6%,,
70 to 74 years,Kootenay Boundary,Women+,3.9%,,
75 to 79 years,Kootenay Boundary,Women+,2.4%,,
80 to 84 years,Kootenay Boundary,Women+,1.6%,,
85 to 89 years,Kootenay Boundary,Women+,1.1%,,
90 to 94 years,Kootenay Boundary,Women+,0.4%,,
95 to 99 years,Kootenay Boundary,Women+,0.2%,,
